dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
200	187.6	18.8	139.2	187.9	212.8	15.0	913.9	225.5	0
400	167.6	27.4	129.2	162.3	188.4	13.7	4143.4	193.6	10.3537399220769
600	165.8	27.7	130.4	160.1	181.6	15.6	4099.7	191.4	18.5451550919572
800	158.2	26.6	127.8	151.6	166.2	11.0	4188.8	178.8	24.7154144904245
1000	153.4	25.3	121.4	146.7	160.8	11.2	4104.6	170.8	32.399802890933
1200	149.0	25.5	109.8	142.0	159.8	14.3	4158.2	166.0	39.2275253977382
1400	170.8	25.1	153.0	165.2	184.2	9.4	3710.3	190.2	37.5
1600	157.0	25.3	129.8	148.1	170.7	12.7	3995.1	172.1	46.8948600735868
1800	156.8	25.1	131.4	150.3	168.6	10.6	3995.8	174.2	49.194016003711
2000	154.3	24.2	136.4	147.4	161.0	7.8	4052.6	170.7	50.1295641931684
